GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simulacion,cantina.ucu.Implementaciones.Productos,Medialuna,9,0,0,0,4,0,2,0,2,0
simulacion,cantina.ucu.Implementaciones.Productos,Agua,0,9,0,0,0,4,0,2,0,2
simulacion,cantina.ucu.Implementaciones.Productos,Cafe,9,0,0,0,4,0,2,0,2,0
simulacion,cantina.ucu.Implementaciones.RecursosCompartidos,CajaRegistradora,26,8,0,0,8,2,2,1,2,1
simulacion,cantina.ucu.Implementaciones.RecursosCompartidos,Cafetera,62,15,6,0,19,5,6,1,3,1
simulacion,cantina.ucu,Main,310,0,2,0,79,0,3,0,2,0
simulacion,cantina.ucu.Implementaciones,Cliente,110,22,14,2,26,9,12,5,5,4
simulacion,cantina.ucu.Implementaciones,Pedido,76,141,10,8,26,35,18,11,11,9
simulacion,cantina.ucu.Implementaciones,Reloj,26,0,0,0,11,0,2,0,2,0
simulacion,cantina.ucu.Implementaciones,Barista,139,9,14,0,39,4,9,1,2,1
simulacion,cantina.ucu.Implementaciones,Metricas,299,71,42,2,86,22,26,8,5,7
simulacion,cantina.ucu.Implementaciones,Cantina,63,167,6,12,20,42,11,11,7,6
simulacion,cantina.ucu.Implementaciones.Enums,FuenteDePedido,0,21,0,0,0,4,0,1,0,1
simulacion,cantina.ucu.Implementaciones.Enums,Rol,0,15,0,0,0,3,0,1,0,1
